stock_name,stock_code,preferred_theme,categories,subthemes,keywords
3S,060310,반도체 업황/테마 부각,AI/데이터센터/로봇 | 건설/인프라 | 반도체 | 빅테크,액침냉각 | 냉난방공조(HVAC) | 반도체 소재/부품 | LG전자,액침냉각 | 반도체 소재/부품 | 냉난방공조(HVAC) | LG전자
AJ네트웍스,095570,자율주행/모빌리티 테마,기타 | 자동차,지주사 | 중고차/렌터카,지주사 | 중고차/렌터카
AK홀딩스,006840,우주 / 항공,건설/인프라 | 기타 | 우주/항공,페인트 | 지주사 | 항공사,지주사 | 항공사 | 페인트
APS,054620,개별주,기타,지주사,지주사
APS이노베이션,079810,이차전지,모바일 | 이차전지,폴더블폰 | 2차전지(장비),폴더블폰 | 2차전지(장비)
AP시스템,265520,반도체 업황/테마 부각,반도체,유리기판 | 반도체 장비,유리기판 | 반도체 장비
AP위성,211270,우주 / 항공,우주/항공,저궤도위성(스타링크/원웹) | 우주개발,저궤도위성(스타링크/원웹) | 우주개발
BF랩스,139050,코인 / 가상자산,IT/신기술 | 가상화폐/가상현실,CCTV | 블록체인,블록체인 | CCTV
BGF,027410,개별주,기타,지주사,지주사
BGF리테일,282330,유통 / 물류,유통/물류,편의점 | 소매유통,편의점 | 소매유통
BGF에코머티리얼즈,126600,반도체 업황/테마 부각,반도체 | 환경/재난,반도체 소재/부품 | 탄소포집(CCUS)/탄소중립,반도체 소재/부품 | 탄소포집(CCUS)/탄소중립
BNK금융지주,138930,정책 수혜 기대감,금융 | 기타 | 정부정책,은행 | 지주사 | 밸류업/저PBR,지주사 | 은행 | 밸류업/저PBR
BYC,001460,개별주,국제 | 생활,반일 불매운동 | 패션/의류,패션/의류 | 반일 불매운동
CG인바이츠,083790,BIO / 의료AI,바이오/의료AI,유전자치료 | 면역항암제,유전자치료 | 면역항암제
CJ,001040,정책 수혜 기대감,기타 | 정부정책,지주사 | 밸류업/저PBR,지주사 | 밸류업/저PBR
CJ CGV,079160,IP / 엔터,IP/엔터,영화/드라마/OTT,영화/드라마/OTT
CJ ENM,035760,유통 / 물류,IP/엔터 | 유통/물류,음원/음반 | 영화/드라마/OTT | 미디어(방송/신문) | 소매유통,소매유통 | 영화/드라마/OTT | 음원/음반 | 미디어(방송/신문)
CJ 바이오사이언스,311690,BIO / 의료AI,바이오/의료AI,유전자치료 | 마이크로바이옴,유전자치료 | 마이크로바이옴
CJ대한통운,000120,유통 / 물류,유통/물류,물류,물류
CJ씨푸드,011150,음식료,음식료 | 정치,수산 | 나경원,수산 | 나경원
CJ제일제당,097950,음식료,음식료,설탕(설탕 대체) | 밀가루 | 대체육,설탕(설탕 대체) | 밀가루 | 대체육
CMG제약,058820,BIO / 의료AI,바이오/의료AI,정신질환치료제 | 낙태/피임,정신질환치료제 | 낙태/피임
CNH,023460,개별주,기타,지주사,지주사
CNT85,056730,건설/인프라 테마,건설/인프라,건설기계,건설기계
CR홀딩스,000480,개별주,기타 | 레저,지주사 | 골프,지주사 | 골프
CS,065770,IT / 통신,정치 | 통신,이재명 | 통신/통신장비 | 5G/6G,이재명 | 통신/통신장비 | 5G/6G
CS홀딩스,000590,개별주,기타,지주사,지주사
DB,012030,개별주,기타,지주사,지주사
