stock_name,preferred_theme,example_count,preferred_count,confidence,last_seen,theme_counts
삼성전자,삼성 / 반디플,143,142,0.993,2026-06-15,삼성 / 반디플:142; 개별주:1
SK하이닉스,삼성 / 반디플,132,130,0.985,2026-06-15,삼성 / 반디플:130; 개별주:2
두산에너빌리티,전력 / 에너지,46,41,0.891,2026-05-07,전력 / 에너지:41; 개별주:5
로킷헬스케어,BIO / 의료AI,32,31,0.969,2026-05-26,BIO / 의료AI:31; 실적 / 공시:1
삼성전기,삼성 / 반디플,34,30,0.882,2026-06-15,삼성 / 반디플:30; 로봇:2; MLCC:1; 개별주:1
심텍,삼성 / 반디플,30,29,0.967,2026-06-11,삼성 / 반디플:29; 개별주:1
현대차,로봇,41,29,0.707,2026-06-15,로봇:29; 이차전지:7; 현대차:2; 개별주:1; 자동차:1; 美 - 관세:1
이수페타시스,삼성 / 반디플,27,27,1.000,2026-06-11,삼성 / 반디플:27
티엘비,삼성 / 반디플,28,27,0.964,2026-06-11,삼성 / 반디플:27; 개별주:1
효성중공업,전력 / 에너지,27,27,1.000,2026-06-15,전력 / 에너지:27
LS ELECTRIC,전력 / 에너지,31,26,0.839,2026-06-15,전력 / 에너지:26; 개별주:4; 실적 / 공시:1
디앤디파마텍,BIO / 의료AI,26,26,1.000,2026-06-09,BIO / 의료AI:26
로보티즈,로봇,31,26,0.839,2026-06-12,로봇:26; 개별주:5
하나마이크론,삼성 / 반디플,26,25,0.962,2026-06-11,삼성 / 반디플:25; 실적 / 공시:1
알테오젠,BIO / 의료AI,26,24,0.923,2026-06-11,BIO / 의료AI:24; 개별주:2
에스피지,로봇,24,24,1.000,2026-06-01,로봇:24
에이비엘바이오,BIO / 의료AI,25,24,0.960,2026-04-28,BIO / 의료AI:24; 개별주:1
에이프릴바이오,BIO / 의료AI,24,24,1.000,2026-05-27,BIO / 의료AI:24
오름테라퓨틱,BIO / 의료AI,24,24,1.000,2026-06-11,BIO / 의료AI:24
한국피아이엠,로봇,28,24,0.857,2026-05-21,로봇:24; 개별주:4
HD현대일렉트릭,전력 / 에너지,26,23,0.885,2026-06-11,전력 / 에너지:23; 개별주:3
지투지바이오,BIO / 의료AI,24,23,0.958,2026-04-23,BIO / 의료AI:23; 개별주:1
코리아써키트,삼성 / 반디플,24,23,0.958,2026-06-11,삼성 / 반디플:23; 개별주:1
현대무벡스,로봇,25,23,0.920,2026-06-11,로봇:23; 개별주:2
대덕전자,삼성 / 반디플,24,22,0.917,2026-05-29,삼성 / 반디플:22; 개별주:2
두산,삼성 / 반디플,28,22,0.786,2026-06-01,삼성 / 반디플:22; 개별주:4; 로봇:1; 전력 / 에너지:1
삼현,로봇,24,22,0.917,2026-05-26,로봇:22; 개별주:1; 조선:1
피에스케이,삼성 / 반디플,22,22,1.000,2026-06-12,삼성 / 반디플:22
뉴로핏,BIO / 의료AI,25,21,0.840,2026-05-18,BIO / 의료AI:21; 개별주:4
엘앤에프,이차전지,26,21,0.808,2026-05-28,이차전지:21; 개별주:4; 로봇:1
온코닉테라퓨틱스,BIO / 의료AI,21,21,1.000,2026-05-12,BIO / 의료AI:21
우리기술,전력 / 에너지,23,21,0.913,2026-04-23,전력 / 에너지:21; 개별주:2
일동제약,BIO / 의료AI,21,21,1.000,2026-01-07,BIO / 의료AI:21
프로티나,BIO / 의료AI,22,21,0.955,2025-12-24,BIO / 의료AI:21; 개별주:1
한미반도체,삼성 / 반디플,23,21,0.913,2026-06-12,삼성 / 반디플:21; 개별주:2
레인보우로보틱스,로봇,20,20,1.000,2026-06-01,로봇:20
산일전기,전력 / 에너지,22,20,0.909,2026-05-21,전력 / 에너지:20; 개별주:1; 이차전지:1
태웅,전력 / 에너지,23,20,0.870,2026-04-23,전력 / 에너지:20; 개별주:3
피에스케이홀딩스,삼성 / 반디플,20,20,1.000,2026-06-12,삼성 / 반디플:20
HD현대에너지솔루션,전력 / 에너지,22,19,0.864,2026-05-14,전력 / 에너지:19; 개별주:3
삼성SDI,이차전지,25,19,0.760,2026-04-28,이차전지:19; 개별주:2; 로봇:2; 전력 / 에너지:1; 삼성 / 반디플:1
올릭스,BIO / 의료AI,19,19,1.000,2026-03-03,BIO / 의료AI:19
원익IPS,삼성 / 반디플,20,19,0.950,2026-06-12,삼성 / 반디플:19; 로봇:1
인벤티지랩,BIO / 의료AI,19,19,1.000,2026-02-27,BIO / 의료AI:19
파두,삼성 / 반디플,19,19,1.000,2026-05-19,삼성 / 반디플:19
HJ중공업,조선,30,18,0.600,2026-01-27,조선:18; 개별주:11; 실적 / 공시:1
ISC,삼성 / 반디플,19,18,0.947,2026-06-12,삼성 / 반디플:18; 개별주:1
삼천당제약,BIO / 의료AI,19,18,0.947,2026-04-02,BIO / 의료AI:18; 개별주:1
앱클론,BIO / 의료AI,18,18,1.000,2026-05-21,BIO / 의료AI:18
원익홀딩스,로봇,21,18,0.857,2026-06-11,로봇:18; 개별주:2; 삼성 / 반디플:1
테스,삼성 / 반디플,18,18,1.000,2026-06-10,삼성 / 반디플:18
현대오토에버,로봇,22,18,0.818,2026-05-29,로봇:18; 현대차:2; 자동차:1; 이차전지:1
LG에너지솔루션,이차전지,19,17,0.895,2026-06-15,이차전지:17; 개별주:2
뉴로메카,로봇,19,17,0.895,2026-05-21,로봇:17; 개별주:1; 조선:1
대우건설,전력 / 에너지,19,17,0.895,2026-04-28,전력 / 에너지:17; 개별주:2
두산테스나,삼성 / 반디플,17,17,1.000,2026-06-11,삼성 / 반디플:17
비에이치아이,전력 / 에너지,18,17,0.944,2026-03-06,전력 / 에너지:17; 개별주:1
알지노믹스,BIO / 의료AI,17,17,1.000,2026-05-22,BIO / 의료AI:17
제닉스로보틱스,로봇,18,17,0.944,2026-05-26,로봇:17; 정부 정책:1
제주반도체,삼성 / 반디플,18,17,0.944,2026-05-21,삼성 / 반디플:17; 실적 / 공시:1
지놈앤컴퍼니,BIO / 의료AI,18,17,0.944,2026-06-09,BIO / 의료AI:17; 개별주:1
코데즈컴바인,개별주,18,17,0.944,2026-06-15,개별주:17; 대북:1
클로봇,로봇,18,17,0.944,2026-01-19,로봇:17; 현대차:1
한라캐스트,로봇,20,17,0.850,2026-05-21,로봇:17; 개별주:2; 정부 정책:1
한화오션,조선,27,17,0.630,2026-06-10,조선:17; 개별주:8; 방산:1; 미중갈등 / 원자재:1
OCI홀딩스,전력 / 에너지,25,16,0.640,2026-05-27,전력 / 에너지:16; 개별주:7; 우주 / 항공:2
두산퓨얼셀,전력 / 에너지,20,16,0.800,2026-05-22,전력 / 에너지:16; 개별주:3; 조선:1
디아이씨,로봇,17,16,0.941,2026-05-22,로봇:16; 개별주:1
세진중공업,조선,16,16,1.000,2026-04-03,조선:16
에코프로,이차전지,20,16,0.800,2026-05-22,이차전지:16; 개별주:4
엠케이전자,삼성 / 반디플,16,16,1.000,2026-06-11,삼성 / 반디플:16
이오테크닉스,삼성 / 반디플,16,16,1.000,2026-06-12,삼성 / 반디플:16
현대건설,전력 / 에너지,17,16,0.941,2026-06-10,전력 / 에너지:16; 개별주:1
현대모비스,로봇,18,16,0.889,2026-06-15,로봇:16; 현대차:2
HD현대중공업,조선,25,15,0.600,2026-05-26,조선:15; 개별주:9; 전력 / 에너지:1
가온전선,전력 / 에너지,18,15,0.833,2026-06-09,전력 / 에너지:15; 개별주:3
기가비스,삼성 / 반디플,15,15,1.000,2026-06-11,삼성 / 반디플:15
덕산하이메탈,삼성 / 반디플,15,15,1.000,2026-06-04,삼성 / 반디플:15
비나텍,전력 / 에너지,18,15,0.833,2026-05-22,전력 / 에너지:15; 개별주:2; 로봇:1
저스템,삼성 / 반디플,16,15,0.938,2026-06-12,삼성 / 반디플:15; 개별주:1
좋은사람들,개별주,17,15,0.882,2026-06-15,개별주:15; 대북:1; 정부 정책:1
케이엔알시스템,로봇,16,15,0.938,2026-02-03,로봇:15; 전력 / 에너지:1
펩트론,BIO / 의료AI,15,15,1.000,2026-03-10,BIO / 의료AI:15
한올바이오파마,BIO / 의료AI,15,15,1.000,2026-05-27,BIO / 의료AI:15
한화엔진,조선,22,15,0.682,2026-06-15,조선:15; 개별주:5; 전력 / 에너지:2
현대ADM,BIO / 의료AI,16,15,0.938,2026-03-05,BIO / 의료AI:15; 개별주:1
HD현대마린엔진,조선,19,14,0.737,2026-04-24,조선:14; 개별주:5
STX엔진,조선,17,14,0.824,2026-04-29,조선:14; 전력 / 에너지:2; 개별주:1
대원전선,전력 / 에너지,15,14,0.933,2026-05-21,전력 / 에너지:14; 개별주:1
대한광통신,IT / 통신,35,14,0.400,2026-05-20,IT / 통신:14; 개별주:8; 전력 / 에너지:8; 로봇:2; 방산:2; 5G / 6G:1
대한전선,전력 / 에너지,14,14,1.000,2026-05-08,전력 / 에너지:14
동양고속,개별주,14,14,1.000,2026-06-02,개별주:14
로보스타,로봇,16,14,0.875,2026-06-05,로봇:14; 개별주:1; 정부 정책:1
아이티센글로벌,개별주,20,14,0.700,2026-05-04,개별주:14; 코인 / 가상자산:4; 원자재:1; 미-중 갈등 / 원자재:1
에스비비테크,로봇,17,14,0.824,2026-05-12,로봇:14; 현대차:2; 개별주:1
유진테크,삼성 / 반디플,14,14,1.000,2026-06-11,삼성 / 반디플:14
코미코,삼성 / 반디플,14,14,1.000,2026-06-11,삼성 / 반디플:14
토모큐브,BIO / 의료AI,14,14,1.000,2026-02-23,BIO / 의료AI:14
파미셀,삼성 / 반디플,16,14,0.875,2026-05-04,삼성 / 반디플:14; 실적 / 공시:1; 개별주:1
하이젠알앤엠,로봇,14,14,1.000,2026-01-21,로봇:14
한국전력,전력 / 에너지,17,14,0.824,2026-02-25,전력 / 에너지:14; 개별주:3
GS피앤엘,개별주,15,13,0.867,2026-06-05,개별주:13; 실적 / 공시:1; 화장품 / 중국:1
레이저쎌,삼성 / 반디플,13,13,1.000,2026-05-18,삼성 / 반디플:13
링크솔루션,로봇,17,13,0.765,2026-02-27,로봇:13; 개별주:3; 방산:1
빛과전자,IT / 통신,20,13,0.650,2026-05-22,IT / 통신:13; 개별주:4; 삼성 / 반디플:2; 5G / 6G:1
삼영엠텍,조선,17,13,0.765,2026-04-17,조선:13; 개별주:4
아이엘,로봇,13,13,1.000,2026-05-21,로봇:13
에이치엠넥스,삼성 / 반디플,14,13,0.929,2026-06-08,삼성 / 반디플:13; 개별주:1
에이팩트,삼성 / 반디플,14,13,0.929,2026-06-11,삼성 / 반디플:13; 로봇:1
에코프로비엠,이차전지,15,13,0.867,2026-01-29,이차전지:13; 로봇:1; 개별주:1
엘앤씨바이오,BIO / 의료AI,15,13,0.867,2026-06-11,BIO / 의료AI:13; 개별주:2
엠디바이스,삼성 / 반디플,13,13,1.000,2026-05-14,삼성 / 반디플:13
우림피티에스,로봇,13,13,1.000,2026-05-08,로봇:13
우진,전력 / 에너지,17,13,0.765,2026-03-20,전력 / 에너지:13; 개별주:4
케어젠,BIO / 의료AI,13,13,1.000,2026-04-23,BIO / 의료AI:13
코오롱티슈진,BIO / 의료AI,14,13,0.929,2026-06-09,BIO / 의료AI:13; 개별주:1
테크윙,삼성 / 반디플,13,13,1.000,2026-06-09,삼성 / 반디플:13
티로보틱스,로봇,13,13,1.000,2026-05-28,로봇:13
티에스이,삼성 / 반디플,13,13,1.000,2026-06-11,삼성 / 반디플:13
한미약품,BIO / 의료AI,14,13,0.929,2026-06-01,BIO / 의료AI:13; 개별주:1
한스바이오메드,BIO / 의료AI,16,13,0.812,2026-05-27,BIO / 의료AI:13; 개별주:2; 실적 / 공시:1
한중엔시에스,이차전지,16,13,0.812,2026-05-28,이차전지:13; 개별주:2; 전력 / 에너지:1
한화솔루션,전력 / 에너지,15,13,0.867,2026-06-15,전력 / 에너지:13; 개별주:2
